Index,KOD_FASILITI,STATUS,SEKTOR,SUBSEKTOR,PROGRAM_GROUP,NEGERI,DAERAH,KATEGORI_FASILITI,JENIS_FASILITI,NAMA,ALAMAT,BANDAR,POSKOD,DAERAH_PENTADBIRAN,TELEFON,EMEL,URBAN_RURAL,LATITUD,LONGITUD
37,12-04030113,BUKA,AWAM,ATM,,MELAKA,MELAKA TENGAH,HOSPITAL,HOSPITAL TENTERA,94 HOSPITAL ANGKATAN TENTERA KEM TERENDAK,"94, HOSPITAL ANGKATAN TENTERA KEM TRENDAK 76200 SUNGAI UDANG MELAKA",,76200,,,,,2.288872465,102.0922779
38,11-05010010,BUKA,AWAM,KKM,,NEGERI SEMBILAN,JELEBU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL JELEBU,KUALA KLAWANG,,71600,,,,,2.950434,102.058889
39,11-05020011,BUKA,AWAM,KKM,,NEGERI SEMBILAN,JEMPOL,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL JEMPOL,BANDAR SERI JEMPOL,,72120,,,,,2.903466,102.40637
40,11-05030014,BUKA,AWAM,KKM,,NEGERI SEMBILAN,KUALA PILAH,HOSPITAL,HOSPITAL PAKAR MAJOR,"HOSPITAL TUANKU AMPUAN NAJIHAH, KUALA PILAH",KM 3 JALAN MELANG,,72000,,,,,2.733345,102.23188
41,11-05040012,BUKA,AWAM,KKM,,NEGERI SEMBILAN,PORT DICKSON,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL PORT DICKSON,"KM 11, JALAN PANTAI, SIRUSA",,71050,,,,,2.477803,101.855201
42,11-05050297,BUKA,AWAM,KKM,,NEGERI SEMBILAN,REMBAU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL REMBAU,"JALAN DATO' UNDANG HAJI MUHAMAD SHARIP, CHEMBONG",,71300,,,,,2.599772,102.07251
43,11-05060009,BUKA,AWAM,KKM,,NEGERI SEMBILAN,SEREMBAN,HOSPITAL,HOSPITAL NEGERI,"HOSPITAL TUANKU JA'AFAR, SEREMBAN",JALAN RASAH,,70300,,,,,2.709764,101.94472
44,11-05070013,BUKA,AWAM,KKM,,NEGERI SEMBILAN,TAMPIN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL TAMPIN,JALAN HAJI AHMAD ZAINUDDIN,,73000,,,,,2.47134,102.228335
45,12-05070188,BUKA,AWAM,ATM,,NEGERI SEMBILAN,GEMAS,HOSPITAL,HOSPITAL TENTERA,HOSPITAL TENTERA DARAT GEMAS,HOSPITAL TENTERA DARAT KEM SYED SIRAJUDDIN 73400 GEMAS NEGERI SEMBILAN,,73400,,,,,2.575043029,102.5721258
46,11-06010014,BUKA,AWAM,KKM,,PAHANG,BENTONG,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL BENTONG,28700 BENTONG,,28700,,,,,3.526144,101.906347
47,11-06030015,BUKA,AWAM,KKM,,PAHANG,CAMERON HIGHLANDS,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SULTANAH HAJJAH KALSOM,"HOSPITAL SULTANAH HAJJAH KALSOM, PERSIARAN DAYANG ENDAH, CAMERON HIGHLANDS",,39000,,,,,4.466803,101.390673
48,11-06040017,BUKA,AWAM,KKM,,PAHANG,JERANTUT,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL JERANTUT,27000 JERANTUT,,27000,,,,,3.929246,102.360706
49,11-06050013,BUKA,AWAM,KKM,,PAHANG,KUANTAN,HOSPITAL,HOSPITAL NEGERI,"HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN",JALAN AIR PUTIH,,25100,,,,,3.799259,103.321206
50,11-06060018,BUKA,AWAM,KKM,,PAHANG,LIPIS,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL KUALA LIPIS,27200 KUALA LIPIS,,27200,,,,,4.18354,102.05501
51,11-06070016,BUKA,AWAM,KKM,,PAHANG,MARAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL JENGKA,"BANDAR TUN ABDUL RAZAK JENGKA, BANDAR PUSAT JENGKA",,26400,,,,,3.772436,102.552776
52,11-06080020,BUKA,AWAM,KKM,,PAHANG,PEKAN,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL PEKAN,26600 PEKAN,,26600,,,,,3.503059,103.379757
53,11-06090021,BUKA,AWAM,KKM,,PAHANG,RAUB,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL RAUB,JALAN TENGKU ABD SAMAD,,27600,,,,,3.809944,101.852236
54,11-06100019,BUKA,AWAM,KKM,,PAHANG,ROMPIN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL MUADZAM SHAH,26700 MUADZAM SHAH,,26700,,,,,3.053089,103.091749
55,11-06100400,BUKA,AWAM,KKM,,PAHANG,ROMPIN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL ROMPIN,JALAN KG. KOLAM ROMPIN,,26800,,,,,2.794783,103.493657
56,11-06110022,BUKA,AWAM,KKM,,PAHANG,TEMERLOH,HOSPITAL,HOSPITAL PAKAR MAJOR,"HOSPITAL SULTAN HJ AHMAD SHAH, TEMERLOH",JALAN MARAN,,28000,,,,,3.453936,102.451887
57,11-06020561,BUKA,AWAM,KKM,,PAHANG,BERA,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BERA,"TAMAN KERAYONG JAYA, 28200 TERIANG, PAHANG",,28200,,,,,3.270128,102.449852
58,12-06050521,BUKA,AWAM,KPT,,PAHANG,KUANTAN,HOSPITAL,HOSPITAL PENGAJAR,SULTAN AHMAD SHAH MEDICAL CENTRE  @ IIUM MEDICAL CENTRE,"SULTAN AHMAD SHAH MEDICAL CENTRE @IIUM, JALAN SULTAN HAJI AHMAD SHAH, BANDAR INDERA MAHKOTA, 25200 KUANTAN, PAHANG",,25200,,,,,3.835275814,103.3049252
59,11-08010020,BUKA,AWAM,KKM,,PERAK,BATANG PADANG,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL SLIM RIVER,35800 SLIM RIVER,,35800,,,,,3.8387897,101.4051714
60,11-08010023,BUKA,AWAM,KKM,,PERAK,BATANG PADANG,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL TAPAH,JALAN TEMOH,,35000,,,,,4.201797,101.2596207
61,11-08020024,BUKA,AWAM,KKM,,PERAK,HILIR PERAK,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL TELUK INTAN,JALAN CHANGKAT JONG,,36000,,,,,4.0046621,101.040375
62,11-08030014,BUKA,AWAM,KKM,,PERAK,HULU PERAK,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL GERIK,JALAN INTAN,,33300,,,,,5.4290267,101.1279216
63,11-08040017,BUKA,AWAM,KKM,,PERAK,KERIAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL PARIT BUNTAR,JALAN SEMPADAN,,34200,,,,,5.1316468,100.4836064
64,11-08050011,BUKA,AWAM,KKM,,PERAK,KINTA,HOSPITAL,HOSPITAL NEGERI,HOSPITAL  RAJA PERMAISURI BAINUN,JALAN HOSPITAL,,30400,,,,,4.6038296,101.0904579
65,11-08050012,BUKA,AWAM,KKM,,PERAK,KINTA,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BATU GAJAH,JALAN CHANGKAT,,31000,,,,,4.4796609,101.0341831
66,11-08060016,BUKA,AWAM,KKM,,PERAK,KUALA KANGSAR,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KUALA KANGSAR,JALAN SULTAN IDRIS SHAH 1,,33000,,,,,4.7790663,100.9378919
67,11-08060021,BUKA,AWAM,KKM,,PERAK,KUALA KANGSAR,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SUNGAI SIPUT,JALAN FELDA LASAH,,31100,,,,,4.8279504,101.057063
68,11-08070018,BUKA,AWAM,KKM,,PERAK,LARUT DAN MATANG,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SELAMA,JALAN TAIPING,,34100,,,,,5.2131521,100.6888594
69,11-08070022,BUKA,AWAM,KKM,,PERAK,LARUT DAN MATANG,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL TAIPING,JALAN TAMING SARI,,34000,,,,,4.850935,100.737374
70,11-08080019,BUKA,AWAM,KKM,,PERAK,MANJUNG,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL SERI MANJUNG,32040 SERI MANJUNG,,32040,,,,,4.1859387,100.6624601
71,11-08090013,BUKA,AWAM,KKM,,PERAK,PERAK TENGAH,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SERI ISKANDAR,"LAMBOR KANAN, PARIT",,32900,,,,,4.313651,100.910832
72,11-08110015,BUKA,AWAM,KKM,,PERAK,KAMPAR,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KAMPAR,JALAN HOSPITAL,,31900,,,,,4.3118993,101.1563613
73,12-08080382,BUKA,AWAM,ATM,,PERAK,MANJUNG,HOSPITAL,HOSPITAL TENTERA,96 HOSPITAL ANGKATAN TENTERA LUMUT,96 HOSPITAL ANGKATAN TENTERA PANGKALAN TLDM 32100 LUMUT,,32100,,,,,4.22249794,100.6172085
74,11-09010003,BUKA,AWAM,KKM,,PERLIS,KANGAR,HOSPITAL,HOSPITAL NEGERI,HOSPITAL TUANKU FAUZIAH,"PEJABAT PENGARAH, HOSPITAL TUANKU FAUZIAH, JALAN KOLAM",,01000,,,,,4.674394,101.1509324
75,11-07010010,BUKA,AWAM,KKM,,PULAU PINANG,BARAT DAYA,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BALIK PULAU,BALIK PULAU,,11000,,,,,5.350582,100.233089
76,11-07020014,BUKA,AWAM,KKM,,PULAU PINANG,SEBERANG PERAI SELATAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SUNGAI BAKAP,"SUNGAI JAWI, SEBERANG PERAI SELATAN",,14200,,,,,5.218512,100.49741
77,11-07030011,BUKA,AWAM,KKM,,PULAU PINANG,SEBERANG PERAI TENGAH,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL BUKIT MERTAJAM,"JALAN KULIM, BUKIT MERTAJAM",,14000,,,,,5.359892,100.464599
78,11-07030013,BUKA,AWAM,KKM,,PULAU PINANG,SEBERANG PERAI TENGAH,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL SEBERANG JAYA,"JLN TUN HUSSEIN ONN, PERAI",,13700,,,,,5.394912,100.406509
79,11-07040012,BUKA,AWAM,KKM,,PULAU PINANG,SEBERANG PERAI UTARA,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL KEPALA BATAS,"JALAN BERTAM, KEPALA BATAS",,13200,,,,,5.51239,100.43688
80,11-07050009,BUKA,AWAM,KKM,,PULAU PINANG,TIMUR LAUT,HOSPITAL,HOSPITAL NEGERI,HOSPITAL PULAU PINANG,JALAN RESIDENSI,,10990,,,,,5.42021,100.30957
81,11-12010026,BUKA,AWAM,KKM,,SABAH,BEAUFORT,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BEAUFORT,PETI SURAT 40,,89807,,,,,5.350967,115.740929
82,11-12020027,BUKA,AWAM,KKM,,SABAH,BELURAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BELURAN,"KARUNG BERKUNCI NO. 02, PEKAN BELURAN",,90109,,,,,5.892804,117.557788
83,11-12030029,BUKA,AWAM,KKM,,SABAH,KENINGAU,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL KENINGAU,PETI SURAT 11,,89007,,,,,5.34077,116.15946
84,11-12040030,BUKA,AWAM,KKM,,SABAH,KINABATANGAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KINABATANGAN,W.D.T 200,,90020,,,,,5.5853,117.85
85,11-12050031,BUKA,AWAM,KKM,,SABAH,KOTA BELUD,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KOTA BELUD,PETI SURAT 159,,89150,,,,,6.3457,116.42669
86,11-12060025,BUKA,AWAM,KKM,,SABAH,KOTA KINABALU,HOSPITAL,HOSPITAL NEGERI,HOSPITAL QUEEN ELIZABETH,KARUNG BERKUNCI NO. 2029,,88586,,,,,5.956588,116.072735
87,11-12060388,BUKA,AWAM,KKM,,SABAH,KOTA KINABALU,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL QUEEN ELIZABETH II,"LORONG BERSATU, OFF JALAN DAMAI LUYANG",,88300,,,,,5.966631,116.093759
88,11-12070032,BUKA,AWAM,KKM,,SABAH,KOTA MARUDU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KOTA MARUDU,PETI SURAT 255,,89108,,,,,6.45728,116.77499
89,11-12080033,BUKA,AWAM,KKM,,SABAH,KUALA PENYU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KUALA PENYU,W.D.T. 35,,89740,,,,,5.5608,115.58533
90,11-12090034,BUKA,AWAM,KKM,,SABAH,KUDAT,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KUDAT,PETI SURAT 22,,89057,,,,,6.90774,116.83814
91,11-12100035,BUKA,AWAM,KKM,,SABAH,KUNAK,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KUNAK,W.D.T. 150,,91209,,,,,4.67799,118.23137
92,11-12110036,BUKA,AWAM,KKM,,SABAH,LAHAD DATU,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL LAHAD DATU,PETI SURAT 60065,,91110,,,,,5.02755,118.31443
93,11-12130037,BUKA,AWAM,KKM,,SABAH,PAPAR,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL PAPAR,PETI SURAT NO. 6,,89607,,,,,5.72673,115.92404
94,11-12150038,BUKA,AWAM,KKM,,SABAH,PITAS,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL PITAS,PETI SURAT 88,,89100,,,,,6.71252,117.02924
95,11-12160039,BUKA,AWAM,KKM,,SABAH,RANAU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL RANAU,"KARUNG BERKUNCI 7, JALAN HOSPITAL",,89300,,,,,5.95367,116.67064
96,11-12170028,BUKA,AWAM,KKM,,SABAH,SANDAKAN,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL DUCHESS OF KENT,"KM 3.2, JALAN UTARA",,90000,,,,,5.858905,118.102986
97,11-12180040,BUKA,AWAM,KKM,,SABAH,SEMPORNA,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SEMPORNA,PETI SURAT 80,,91307,,,,,4.483205,118.604336
98,11-12190041,BUKA,AWAM,KKM,,SABAH,SIPITANG,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SIPITANG,PETI SURAT 250,,89857,,,,,5.09663,115.56287
99,11-12200042,BUKA,AWAM,KKM,,SABAH,TAMBUNAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL TAMBUNAN,PETI SURAT 10,,89657,,,,,5.682566,116.370771
100,11-12210043,BUKA,AWAM,KKM,,SABAH,TAWAU,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL TAWAU,PETI SURAT 67,,91000,,,,,4.24924,117.879487
101,11-12220044,BUKA,AWAM,KKM,,SABAH,TENOM,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL TENOM,PETI SURAT 97,,89907,,,,,5.1235,115.94367
102,11-12240380,BUKA,AWAM,KKM,,SABAH,TUARAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL TUARAN,PETI SURAT 996,,89207,,,,,6.14395,116.21911
103,11-13020019,BUKA,AWAM,KKM,,SARAWAK,BAU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BAU,"BATU 1 Â½,  JALAN BAU-LUNDU",,94000,,,,,1.42923,110.1424
104,11-13040020,BUKA,AWAM,KKM,,SARAWAK,BETONG,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BETONG,JALAN BETONG,,95707,,,,,1.37434,111.57376
105,11-13050021,BUKA,AWAM,KKM,,SARAWAK,BINTULU,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL BINTULU,JALAN NYABAU,,97000,,,,,3.23015,113.10026
106,11-13060246,BUKA,AWAM,KKM,,SARAWAK,DALAT,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL DALAT,"HOSPITAL DALAT, FASA 1, JALAN OYA-DALAT",,96300,,,,,2.861584,111.882231
107,11-13070022,BUKA,AWAM,KKM,,SARAWAK,DARO,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL DARO,JALAN ITOL,,96200,,,,,2.51615,111.4333
108,11-13090023,BUKA,AWAM,KKM,,SARAWAK,KANOWIT,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KANOWIT,JALAN KANOWIT/ DURIN,,96700,,,,,2.102514,112.151932
109,11-13100024,BUKA,AWAM,KKM,,SARAWAK,KAPIT,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL KAPIT,JALAN MEMORA,,96800,,,,,2.0141,112.94297
110,11-13110018,BUKA,AWAM,KKM,,SARAWAK,KUCHING,HOSPITAL,HOSPITAL NEGERI,HOSPITAL UMUM SARAWAK,JALAN TUN AHMAD ZAIDI ADRUCE,,93586,,,,,1.544093,110.339401
111,11-13110037,BUKA,AWAM,KKM,,SARAWAK,KUCHING,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL RAJAH CHARLES BROOKE MEMORIAL,"BT 13, JALAN PUNCAK BORNEO, KOTA PADAWAN",,93250,,,,,1.388962,110.320908
112,11-13120025,BUKA,AWAM,KKM,,SARAWAK,LAWAS,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL LAWAS,JALAN HOSPITAL,,98850,,,,,4.85454,115.4047
113,11-13130026,BUKA,AWAM,KKM,,SARAWAK,LIMBANG,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL LIMBANG,JALAN PANDARUAN,,98700,,,,,4.76468,115.01857
114,11-13150027,BUKA,AWAM,KKM,,SARAWAK,LUNDU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL LUNDU,JALAN SEKAMBAL,,94500,,,,,1.6719,109.84854
115,11-13170028,BUKA,AWAM,KKM,,SARAWAK,MARUDI,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL MARUDI,JALAN BUNGOR,,98050,,,,,4.18083,114.33167
116,11-13190029,BUKA,AWAM,KKM,,SARAWAK,MIRI,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL MIRI,JALAN CAHAYA,,98000,,,,,4.373951,113.998249
